bicycle	highway	name	note	surface	visible_name	boat	canoe	motorboat	waterway	canoe:conditional	wikidata	bridge	layer	ship	width	area	lit	wikipedia	tunnel	name:de	name:ru	step_count	covered	alt_name	foot	incline	loc_name	lanes	maxspeed	oneway	wheelchair	railway	man_made	nat_ref	start_date	source	source:maxspeed	construction	svg:bezier	building	ferry	public_transport	CEMT	access	old_name	name:it	canoa:conditional	fixme	name:en	name:es	name:fr	bridge:railing	bridge:structure	importance	name:ja	name:pl	name:pt	sidewalk	architect	end_date	length	name:uk	horse	official_name	material	tourism	place	source:date	footway	name:ar	name:be	name:bg	name:he	name:ko	name:tr	name:vec	name:zh	maxwidth	handrail	handrail:left	handrail:right	est_width	arcade:right	electrified	arcade:left	natural	height	psv	description	motor_vehicle	segregated	smoothness	step	ramp	ramp:bicycle	ramp:stroller	ramp:wheelchair	name_1	noexit
no	pedestrian	Calle Nova			CALLE NOVA																																																																																														
no	pedestrian	Calle Pasqualigo																																																																																																	
	footway	Campo Santa Maria Nova																																																																																																	
no	pedestrian	Corte Corner																																																																																																	
no	pedestrian	Campiello Flaminio Corner																																																																																																	
		Rio dei Gesuiti							canal	Mo-Fr 8:00-15:00	Q3432810				8																																																																																				
no	pedestrian	Corte dei Miracoli			CORTE DEI MIRACOLI																																							private																																																							
no	pedestrian	Corte dei Miracoli														yes																												private																																																							
		Rio de San Lio				yes			canal		Q3432756				8																																																																																				
no	pedestrian	Calle Sernagiotto	n_n_vis																					Calle del Stramazzer																																																																											
no	pedestrian	Corte Civran																																											Corte Gustavo Modena																																																						
no	pedestrian	Sotoportego del'Aseo																	building_passage				yes	Sotoportego de l'Aseo																																																																											
no	pedestrian	Sotoportego del Milion																	yes				yes																																																																												
no	pedestrian	Calle Comello																																																																																																	
no	pedestrian	Campo Santa Maria Nova																																																																																																	
	steps	Ponte Noris										yes	1									8				up																																																																									
	steps	Ponte Pasqualigo										yes	1									8				up																																																																									
	steps	Ponte Widmann										yes	1									6				up																																																																									
no	pedestrian	Calle Moretti																																																																																																	
no	pedestrian	Calle Noris																																																																																																	
no	pedestrian	Campiello Crosetta														yes																																																																																			
no	pedestrian	Fondamenta del Piovan																																																																																																	
	steps	Ponte Santa Maria Nova										yes	1									7		Ponte de Santa Maria Nova		down																																																																									
	steps	Ponte del Piovan										yes	1									3		Ponte del Volto		up																																																																									
no	pedestrian	Calle Cappellis																																																																																																	
no	pedestrian	Corte de le Pizzochere																																																																																																	
no	pedestrian	Calle Crosetta																																																																																																	
no	pedestrian	Calle Maggioni			CALLE MAGGIONI																																																																																														
no	pedestrian	Calle dei Miracoli																																																																																																	
	footway	Ponte dei Miracoli										yes	1																																																																																						
no	pedestrian	Ramo dei Miracoli																																																																																																	
no	pedestrian	Calle del Forno			CALLE DEL FORNO																																																																																														
no	pedestrian	Sotoportego del Forno																																																																																																	
no	pedestrian	Sotoportego del Forno																																																																																																	
	steps	Ponte San Canzian										yes	1									4		Ponte de San Canzian		up																																																																									
no	pedestrian	Corte Gherardi																																										private																																																							
no	pedestrian	Ramo del Cavalletto																																																																																																	
no	pedestrian	Sotoportego Corner			SOTOPORTEGO E CALLE CORNER																																																																																														
no	pedestrian	Rio terà del Bagatin			RIO TERA' DEL BAGATIN																																																																																														
no	pedestrian	Campiello Flaminio Corner																																																																																																	
	steps	Ponte dei Santi Apostoli											1									12	yes																																																																												
	steps	Ponte dei Zogatoli già San Giovanni Grisostomo										yes	1									4				up	Ponte dei Zogatoli																																																																								
no	pedestrian	Sotoportego Dolfin			SOTOPORTEGO DOLFIN																		yes																																																																												
no	pedestrian	Campiello Riccardo Selvatico														yes																																																																																			
no	pedestrian	Calle de la Posta de Fiorenza			CALLE DE LA POSTA DE FIORENZA																																																																																														
no	pedestrian	Calle del Lion Blanco																																																																																																	
no	pedestrian	Campiello Flaminio Corner																																																																																																	
no	pedestrian	Sotoportego Falier																					yes																																																																												
no	pedestrian	Sotoportego del Magazen																					yes																																																																												
no	pedestrian	Campiello Flaminio Corner														yes																																																																																			
no	pedestrian	Ramo dei Miracoli																						Ramo e Corte dei Miracoli																				private																																																							
